,NUM_CURSOS,CODIGO_IES,TIPO_CATEGORIA_ADM,REGIAO,UF,DEFICIENCIA_FISICA,DEFICIENCIA_AUDITIVA,DEFICIENCIA_VISUAL,DEFICIENCIA_COGNITIVA,DEFICIENCIA_MULTIPLA,RECURSOS_DEF_FISICA,RECURSOS_DEF_VISUAL,RECURSOS_DEF_AUDITIVA,RECURSOS_DEF_COGNITIVA,RECURSOS_DEF_MULTIPLA
1258,14,2687,Privada com fins lucrativos,Sul,Rio Grande do Sul,0.0,1.0,2.0,1.0,0.0,1.2857142857142858,1.9285714285714286,1.7142857142857142,0.8571428571428571,0.8571428571428571
1259,2,2688,Privada com fins lucrativos,Sudeste,São Paulo,2.0,0.0,0.0,0.0,0.0,1.0,1.5,1.5,1.0,1.0
1260,1,2702,Privada com fins lucrativos,Norte,Tocantins,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1261,3,2703,Privada sem fins lucrativos,Sudeste,Minas Gerais,0.0,0.0,1.0,0.0,0.0,2.0,1.6666666666666667,1.6666666666666667,1.3333333333333333,1.3333333333333333
1262,9,2723,Privada sem fins lucrativos,Nordeste,Pernambuco,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.7777777777777778,0.6666666666666666,0.4444444444444444,0.4444444444444444
1263,10,2724,Privada com fins lucrativos,Nordeste,Maranhão,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0
1264,2,2726,,,,,,,,,,,,,
1265,5,2741,Privada sem fins lucrativos,Norte,Tocantins,0.0,0.0,2.0,0.0,0.0,2.4,3.4,3.0,1.6,1.6
1266,1,2744,,,,,,,,,,,,,
1267,16,2745,Privada com fins lucrativos,Norte,Pará,4.0,0.0,1.0,0.0,0.0,1.5,1.75,1.5,1.0,1.0
1268,5,2753,,,,,,,,,,,,,
1269,13,2754,,,,,,,,,,,,,
1270,13,2755,Privada com fins lucrativos,Sul,Santa Catarina,1.0,0.0,3.0,0.0,0.0,1.8461538461538463,2.4615384615384617,2.4615384615384617,1.2307692307692308,1.2307692307692308
1271,14,2756,Privada com fins lucrativos,Centro-Oeste,Goiás,20.0,5.0,18.0,6.0,0.0,4.285714285714286,4.285714285714286,5.714285714285714,2.857142857142857,2.857142857142857
1272,5,2763,Privada com fins lucrativos,Sudeste,Minas Gerais,1.0,0.0,1.0,0.0,0.0,2.0,2.8,2.4,1.4,1.4
1273,16,2766,Privada com fins lucrativos,Sul,Santa Catarina,0.0,0.0,1.0,0.0,0.0,0.0625,0.1875,0.3125,0.0625,0.0625
1274,12,2770,Privada com fins lucrativos,Centro-Oeste,Goiás,1.0,1.0,0.0,1.0,0.0,1.5,1.75,1.75,1.0,1.0
1275,8,2771,,,,,,,,,,,,,
1276,26,2773,Privada com fins lucrativos,Norte,Amapá,19.0,5.0,19.0,10.0,0.0,4.384615384615385,4.384615384615385,5.846153846153846,2.923076923076923,2.923076923076923
1277,18,2774,Privada sem fins lucrativos,Sudeste,São Paulo,1.0,2.0,2.0,1.0,0.0,1.3333333333333333,2.0,1.7777777777777777,0.8888888888888888,0.8888888888888888
1278,3,2775,,,,,,,,,,,,,
1279,9,2779,,,,,,,,,,,,,
1280,8,2783,,,,,,,,,,,,,
1281,5,2787,Privada sem fins lucrativos,Sul,Paraná,0.0,1.0,0.0,0.0,0.0,0.4,0.2,0.4,0.2,0.2
1282,6,2791,Privada com fins lucrativos,Centro-Oeste,Mato Grosso,2.0,2.0,7.0,0.0,0.0,5.0,5.0,6.666666666666667,3.3333333333333335,3.3333333333333335
1283,1,2793,,,,,,,,,,,,,
1284,16,2794,Privada com fins lucrativos,Centro-Oeste,Mato Grosso,22.0,4.0,19.0,9.0,0.0,5.25,5.25,7.0,3.5,3.5
1285,15,2796,Privada com fins lucrativos,Centro-Oeste,Goiás,0.0,0.0,1.0,0.0,0.0,0.4,0.4666666666666667,0.4666666666666667,0.26666666666666666,0.26666666666666666
1286,4,2799,,,,,,,,,,,,,
1287,3,2805,,,,,,,,,,,,,
