CODIGO_IES;NOME_IES;SIGLA_IES;TIPO_CATEGORIA_ADM;TIPO_ORG_ACADEMICA;REGIAO;UF;CODIGO_MUNICIPIO
2500;FACULDADE EINSTEIN;;Privada com fins lucrativos;Faculdade;Nordeste;Bahia;2927408
2513;Faculdade Positivo Londrina;FPL;Privada com fins lucrativos;Faculdade;Sul;Paraná;4113700
2521;INSTITUTO SUPERIOR DE EDUCAÇÃO DO SUL DO PIAUÍ;ISESPI;Privada com fins lucrativos;Faculdade;Nordeste;Piauí;2202307
2532;FACULDADE DO SUDESTE GOIANO;FASUG;Privada com fins lucrativos;Faculdade;Centro-Oeste;Goiás;5217401
2536;FACULDADE RORAIMENSE DE ENSINO SUPERIOR;FARES;Privada com fins lucrativos;Faculdade;Norte;Roraima;1400100
2537;FACULDADE SÃO GERALDO;FSG;Privada com fins lucrativos;Faculdade;Sudeste;Espírito Santo;3201308
19208;FACULDADE CAPIXABA DE CARIACICA;MULTIVIX CARIAC;Privada com fins lucrativos;Faculdade;Sudeste;Espírito Santo;3201308
19050;FACULDADE INTEGRADA DE CARIACICA;MULTIVIX CARIAC;Privada com fins lucrativos;Faculdade;Sudeste;Espírito Santo;3201308
2538;FACULDADE VENDA NOVA DO IMIGRANTE;FAVENI;Privada com fins lucrativos;Faculdade;Sudeste;Espírito Santo;3205069
2554;FACULDADE DE EDUCAÇÃO SANTA TEREZINHA;FEST;Privada com fins lucrativos;Faculdade;Nordeste;Maranhão;2105302
2560;FACULDADE DE ENSINO SUPERIOR DA CIDADE DE FEIRA DE SANTANA;FAESF/UNEF;Privada com fins lucrativos;Faculdade;Nordeste;Bahia;2910800
2568;FACULDADE ZACARIAS DE GÓES;FAZAG;Privada sem fins lucrativos;Faculdade;Nordeste;Bahia;2932903
12229;FACULDADE DE TECNOLOGIA FAESA - VILA VELHA;CETFAESA;Privada com fins lucrativos;Faculdade;Sudeste;Espírito Santo;3205200
2569;FACULDADE DE TECNOLOGIA FAESA;CET-FAESA;Privada com fins lucrativos;Faculdade;Sudeste;Espírito Santo;3205309
