,NUM_CURSOS,CODIGO_IES,TIPO_CATEGORIA_ADM,REGIAO,UF,DEFICIENCIA_FISICA,DEFICIENCIA_AUDITIVA,DEFICIENCIA_VISUAL,DEFICIENCIA_COGNITIVA,DEFICIENCIA_MULTIPLA,RECURSOS_DEF_FISICA,RECURSOS_DEF_VISUAL,RECURSOS_DEF_AUDITIVA,RECURSOS_DEF_COGNITIVA,RECURSOS_DEF_MULTIPLA
1223,7,2548,1,2,15,1.0,1.0,0.0,0.0,0.0,1.7142857142857142,2.5714285714285716,2.2857142857142856,1.1428571428571428,1.1428571428571428
1225,5,2554,1,1,9,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0
1226,25,2556,2,3,25,17.0,18.0,63.0,16.0,5.0,4.32,6.48,5.76,2.88,2.88
1227,27,2560,1,1,4,0.0,2.0,3.0,0.0,0.0,0.4814814814814815,0.3333333333333333,0.5555555555555556,0.2962962962962963,0.2962962962962963
1228,78,2564,4,1,14,157.0,66.0,147.0,48.0,4.0,0.0,0.01282051282051282,0.02564102564102564,0.0,0.0
1229,17,2565,2,3,20,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.17647058823529413,0.0,0.0
1231,10,2568,2,1,4,0.0,0.0,0.0,1.0,0.0,0.2,0.1,0.2,0.1,0.1
1232,15,2569,1,3,7,1.0,2.0,0.0,3.0,0.0,1.6,1.3333333333333333,1.6,1.0666666666666669,1.0666666666666669
1233,32,2571,2,3,20,2.0,0.0,3.0,16.0,0.0,2.25,3.375,3.0,1.5,1.5
1235,2,2573,2,4,13,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,1.5,1.5
1237,15,2576,1,3,7,11.0,2.0,9.0,9.0,0.0,3.6,3.6,4.8,2.4,2.4
1238,20,2579,1,3,12,4.0,0.0,0.0,1.0,0.0,0.9,0.5,0.9,0.5,0.5
1239,13,2581,1,1,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1241,1,2591,2,3,20,0.0,0.0,1.0,0.0,0.0,6.0,9.0,8.0,4.0,4.0
1242,10,2593,1,1,5,3.0,0.0,0.0,2.0,0.0,0.9,0.9,0.9,0.6,0.6
1243,19,2613,1,2,0,1.0,1.0,0.0,2.0,0.0,1.263157894736842,1.8947368421052635,1.6842105263157894,0.8421052631578947,0.8421052631578947
1246,12,2620,1,4,13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0
1248,5,2624,1,4,13,1.0,0.0,0.0,4.0,1.0,1.2,1.2,1.2,0.8,0.8
