,NUM_CURSOS,CODIGO_IES,TIPO_CATEGORIA_ADM,REGIAO,UF,DEFICIENCIA_FISICA,DEFICIENCIA_AUDITIVA,DEFICIENCIA_VISUAL,DEFICIENCIA_COGNITIVA,DEFICIENCIA_MULTIPLA,RECURSOS_DEF_FISICA,RECURSOS_DEF_VISUAL,RECURSOS_DEF_AUDITIVA,RECURSOS_DEF_COGNITIVA,RECURSOS_DEF_MULTIPLA
326,29,645,Privada sem fins lucrativos,Sul,Santa Catarina,7.0,1.0,8.0,0.0,0.0,0.4482758620689655,0.8275862068965517,1.0689655172413792,0.27586206896551724,0.27586206896551724
331,10,661,Privada com fins lucrativos,Nordeste,Sergipe,1.0,0.0,0.0,0.0,1.0,0.4,0.3,0.4,0.2,0.2
332,126,663,Privada sem fins lucrativos,Sudeste,Rio de Janeiro,36.0,32.0,188.0,27.0,23.0,3.1031746031746037,1.880952380952381,3.7142857142857135,1.865079365079365,1.865079365079365
333,50,664,Privada sem fins lucrativos,Sudeste,Espírito Santo,10.0,9.0,9.0,32.0,3.0,2.4,1.98,1.96,1.44,1.44
335,33,666,Pública Estadual,Nordeste,Bahia,15.0,7.0,26.0,14.0,0.0,2.8484848484848486,4.212121212121212,3.5454545454545454,2.121212121212121,2.121212121212121
336,23,668,Privada com fins lucrativos,Norte,Amazonas,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.08695652173913042,0.0,0.0
337,34,669,Privada sem fins lucrativos,Norte,Amazonas,0.0,2.0,1.0,0.0,0.0,0.05882352941176471,0.2352941176470588,0.14705882352941174,0.029411764705882356,0.029411764705882356
338,71,670,Privada sem fins lucrativos,Sudeste,São Paulo,5.0,1.0,8.0,0.0,0.0,1.1830985915492958,1.3802816901408448,1.5774647887323945,0.7887323943661971,0.7887323943661971
339,90,671,Privada com fins lucrativos,Centro-Oeste,Mato Grosso do Sul,73.0,28.0,90.0,48.0,0.0,3.333333333333333,3.333333333333333,4.288888888888889,2.2222222222222223,2.2222222222222223
340,12,672,Privada sem fins lucrativos,Sudeste,São Paulo,2.0,2.0,0.0,2.0,0.0,2.0,1.9166666666666667,1.6666666666666667,1.3333333333333333,1.3333333333333333
341,64,673,Privada sem fins lucrativos,Centro-Oeste,Mato Grosso do Sul,25.0,4.0,32.0,9.0,3.0,0.75,0.46875,0.78125,0.375,0.375
343,3,677,Privada sem fins lucrativos,Sudeste,Rio de Janeiro,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
344,17,682,Privada com fins lucrativos,Sudeste,Minas Gerais,0.0,0.0,1.0,0.0,0.0,0.1176470588235294,0.17647058823529413,0.05882352941176471,0.05882352941176471,0.05882352941176471
345,12,685,Especial,Nordeste,Pernambuco,0.0,1.0,1.0,0.0,0.0,0.0,0.08333333333333333,0.3333333333333333,0.0,0.0
347,52,688,Pública Estadual,Nordeste,Bahia,43.0,11.0,38.0,12.0,7.0,4.25,5.6923076923076925,4.5,2.7884615384615383,2.7884615384615383
348,10,692,Especial,Nordeste,Pernambuco,16.0,7.0,5.0,3.0,1.0,2.2,2.8,3.0,1.5,1.5
349,48,693,Pública Federal,Sudeste,Rio de Janeiro,31.0,18.0,32.0,6.0,2.0,0.75,0.8125,0.7916666666666666,0.4791666666666667,0.4791666666666667
350,127,694,Pública Federal,Centro-Oeste,Mato Grosso do Sul,50.0,31.0,230.0,31.0,3.0,0.0,0.0,0.8031496062992126,0.0,0.0
351,67,699,Pública Federal,Norte,Rondônia,64.0,27.0,74.0,11.0,0.0,1.2835820895522387,1.388059701492537,1.7611940298507462,0.8208955223880597,0.8208955223880597
352,7,701,Especial,Nordeste,Pernambuco,2.0,1.0,8.0,1.0,0.0,2.0,1.7142857142857142,1.7142857142857142,1.4285714285714286,1.4285714285714286
356,17,705,Privada sem fins lucrativos,Sudeste,Rio de Janeiro,0.0,0.0,1.0,0.0,0.0,0.35294117647058826,0.5294117647058824,0.4705882352941176,0.2352941176470588,0.2352941176470588
358,25,707,Privada com fins lucrativos,Sudeste,São Paulo,6.0,4.0,0.0,2.0,0.0,2.32,2.72,3.12,1.52,1.52
359,70,712,Privada com fins lucrativos,Sudeste,Rio de Janeiro,2.0,4.0,7.0,1.0,0.0,1.0285714285714285,1.542857142857143,1.3714285714285714,0.6857142857142857,0.6857142857142857
360,31,715,Privada sem fins lucrativos,Sul,Paraná,4.0,2.0,2.0,0.0,1.0,1.1612903225806452,0.8709677419354839,1.1612903225806452,0.5806451612903226,0.5806451612903226
361,8,716,Privada sem fins lucrativos,Sudeste,São Paulo,1.0,0.0,1.0,0.0,0.0,0.75,0.875,0.875,0.5,0.5
362,16,717,Pública Federal,Sul,Rio Grande do Sul,1.0,1.0,1.0,1.0,1.0,0.75,0.5,0.75,0.5,0.5
363,159,718,Privada com fins lucrativos,Nordeste,Rio Grande do Norte,11.0,11.0,8.0,4.0,1.0,0.9433962264150944,1.4150943396226414,1.2578616352201255,0.6289308176100629,0.6289308176100629
364,103,719,Pública Estadual,Centro-Oeste,Mato Grosso,11.0,7.0,12.0,1.0,0.0,0.0,0.0,0.6213592233009708,0.0,0.0
369,24,724,Privada sem fins lucrativos,Nordeste,Rio Grande do Norte,1.0,1.0,2.0,1.0,0.0,0.8333333333333334,0.9166666666666666,0.9166666666666666,0.5,0.5
370,10,727,Privada sem fins lucrativos,Sudeste,Minas Gerais,1.0,0.0,0.0,0.0,0.0,0.3,0.5,0.6,0.2,0.2
372,49,730,Pública Estadual,Sul,Paraná,18.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
374,26,736,Privada com fins lucrativos,Sudeste,Espírito Santo,19.0,8.0,18.0,7.0,0.0,3.4615384615384617,3.4615384615384617,4.615384615384615,2.3076923076923075,2.3076923076923075
375,19,737,Privada sem fins lucrativos,Sudeste,São Paulo,0.0,2.0,1.0,2.0,0.0,0.9473684210526316,1.263157894736842,1.263157894736842,0.631578947368421,0.631578947368421
376,13,738,Privada sem fins lucrativos,Sudeste,São Paulo,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.0
377,23,739,Privada sem fins lucrativos,Sudeste,Espírito Santo,0.0,1.0,1.0,0.0,0.0,0.5217391304347826,0.6086956521739131,0.5217391304347826,0.3478260869565217,0.3478260869565217
378,4,744,Pública Municipal,Centro-Oeste,Goiás,3.0,0.0,1.0,0.0,0.0,2.5,4.0,3.0,1.5,1.5
379,4,745,Pública Municipal,Sudeste,São Paulo,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
380,33,746,Pública Estadual,Nordeste,Ceará,17.0,2.0,24.0,1.0,0.0,0.0,0.09090909090909093,0.09090909090909093,0.0,0.0
382,16,750,Pública Municipal,Norte,Tocantins,5.0,1.0,1.0,1.0,0.0,1.1875,1.5,1.625,0.875,0.875
383,11,752,Privada sem fins lucrativos,Sudeste,Minas Gerais,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
385,2,754,Privada com fins lucrativos,Centro-Oeste,Goiás,6.0,1.0,1.0,0.0,1.0,1.0,2.0,4.0,1.0,1.0
387,117,756,Pública Estadual,Nordeste,Piauí,9.0,3.0,8.0,0.0,3.0,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385
388,22,757,Privada com fins lucrativos,Norte,Pará,0.0,0.0,1.0,0.0,0.0,0.0,0.045454545454545456,0.09090909090909093,0.0,0.0
390,24,763,Privada com fins lucrativos,Centro-Oeste,Goiás,1.0,0.0,0.0,0.0,0.0,0.25,0.3333333333333333,0.2916666666666667,0.16666666666666666,0.16666666666666666
391,1,764,Privada sem fins lucrativos,Sudeste,Rio de Janeiro,1.0,0.0,0.0,1.0,0.0,4.0,5.0,4.0,3.0,3.0
394,44,780,Privada com fins lucrativos,Centro-Oeste,Mato Grosso,66.0,29.0,79.0,61.0,0.0,3.954545454545455,3.954545454545455,5.2727272727272725,2.636363636363636,2.636363636363636
395,13,781,Privada com fins lucrativos,Centro-Oeste,Mato Grosso,16.0,4.0,17.0,5.0,0.0,5.538461538461538,5.538461538461538,7.384615384615384,3.692307692307693,3.692307692307693
397,5,788,Privada sem fins lucrativos,Norte,Rondônia,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0
398,49,789,Pública Federal,Norte,Roraima,52.0,10.0,29.0,12.0,1.0,3.795918367346939,5.6938775510204085,5.061224489795919,2.5306122448979598,2.5306122448979598
399,2,790,Privada sem fins lucrativos,Sudeste,São Paulo,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,17,792,Privada sem fins lucrativos,Norte,Pará,5.0,4.0,11.0,6.0,0.0,4.176470588235294,4.176470588235294,3.4117647058823533,2.764705882352941,2.764705882352941
401,72,793,Privada com fins lucrativos,Sudeste,São Paulo,15.0,7.0,8.0,1.0,0.0,0.7222222222222222,0.5416666666666666,0.8888888888888888,0.5416666666666666,0.5416666666666666
402,41,794,Privada sem fins lucrativos,Centro-Oeste,Mato Grosso,7.0,8.0,34.0,0.0,0.0,0.7804878048780488,0.3902439024390244,1.170731707317073,0.3902439024390244,0.3902439024390244
404,12,796,Privada com fins lucrativos,Centro-Oeste,Mato Grosso,0.0,0.0,0.0,1.0,0.0,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333
406,12,798,Privada sem fins lucrativos,Sudeste,Espírito Santo,1.0,0.0,2.0,0.0,0.0,0.25,0.3333333333333333,0.75,0.25,0.25
407,62,802,Privada sem fins lucrativos,Sudeste,Rio de Janeiro,1.0,2.0,4.0,1.0,0.0,0.4677419354838709,0.5967741935483871,0.6774193548387096,0.25806451612903225,0.25806451612903225
410,68,823,Privada sem fins lucrativos,Nordeste,Maranhão,6.0,1.0,2.0,0.0,0.0,0.4705882352941176,0.2352941176470588,0.4705882352941176,0.2352941176470588,0.2352941176470588
411,14,824,Pública Municipal,Centro-Oeste,Goiás,3.0,1.0,2.0,0.0,0.0,0.0,0.2857142857142857,0.6428571428571429,0.0,0.0
416,51,830,Pública Federal,Norte,Amapá,7.0,5.0,4.0,3.0,0.0,1.0196078431372548,1.2745098039215683,1.03921568627451,0.7647058823529411,0.7647058823529411
418,3,832,Privada sem fins lucrativos,Sudeste,Minas Gerais,0.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
419,3,833,Privada sem fins lucrativos,Norte,Rondônia,1.0,0.0,0.0,1.0,0.0,2.0,3.0,2.6666666666666665,1.3333333333333333,1.3333333333333333
