,NUM_CURSOS,CODIGO_IES,TIPO_CATEGORIA_ADM,REGIAO,UF,DEFICIENCIA_FISICA,DEFICIENCIA_AUDITIVA,DEFICIENCIA_VISUAL,DEFICIENCIA_COGNITIVA,DEFICIENCIA_MULTIPLA,RECURSOS_DEF_FISICA,RECURSOS_DEF_VISUAL,RECURSOS_DEF_AUDITIVA,RECURSOS_DEF_COGNITIVA,RECURSOS_DEF_MULTIPLA
1818,3,5706,Sub-Nacional,Sul,Santa Catarina,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0
1974,26,14408,Nacional,Centro-Oeste,Distrito Federal,56.0,33.0,34.0,26.0,3.0,3.6923076923076934,3.8461538461538463,4.1923076923076925,2.3076923076923075,2.3076923076923075
1977,19,14509,Nacional,Nordeste,Bahia,11.0,5.0,11.0,4.0,2.0,2.263157894736842,3.263157894736842,3.263157894736842,1.4210526315789471,1.4210526315789471
1983,66,14724,Nacional,Sul,ParanÃ¡,16.0,2.0,8.0,7.0,1.0,0.5,0.5454545454545454,0.8181818181818182,0.30303030303030304,0.30303030303030304
2003,29,15001,Nacional,Sul,ParanÃ¡,13.0,10.0,12.0,6.0,0.0,3.103448275862069,3.103448275862069,3.103448275862069,1.862068965517241,1.862068965517241
2004,29,15015,Sub-Nacional,Sul,ParanÃ¡,8.0,7.0,13.0,28.0,0.0,3.2758620689655173,4.931034482758621,4.379310344827586,2.1724137931034484,2.1724137931034484
2006,47,15059,Nacional,Norte,ParÃ¡,6.0,14.0,25.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0
2008,45,15121,Nacional,Sul,Santa Catarina,18.0,8.0,24.0,8.0,0.0,0.4,0.4444444444444444,1.2222222222222223,0.26666666666666666,0.26666666666666666
2030,25,15497,Nacional,Nordeste,CearÃ¡,9.0,3.0,19.0,2.0,0.0,0.6,0.52,1.0,0.4,0.4
2034,17,15507,Nacional,Norte,Acre,15.0,4.0,1.0,4.0,0.0,2.588235294117647,1.2941176470588236,2.588235294117647,1.2941176470588236,1.2941176470588236
2036,25,15520,Nacional,Centro-Oeste,Mato Grosso do Sul,4.0,3.0,9.0,4.0,1.0,0.88,1.0,1.28,0.56,0.56
2038,15,15522,Nacional,Norte,AmapÃ¡,9.0,1.0,5.0,8.0,0.0,2.8666666666666667,4.133333333333334,4.0,1.933333333333333,1.933333333333333
2041,4,15576,Sub-Nacional,Sudeste,SÃ£o Paulo,1.0,0.0,4.0,0.0,0.0,1.5,1.5,1.0,1.0,1.0
2042,8,15581,Sub-Nacional,Sudeste,SÃ£o Paulo,1.0,0.0,0.0,0.0,0.0,0.375,0.375,0.25,0.25,0.25
2044,3,15639,Sub-Nacional,Sudeste,SÃ£o Paulo,1.0,1.0,0.0,0.0,0.0,1.3333333333333333,2.0,1.0,1.0,1.0
