id_ies,cod,nome,categoria,sigla,tipo_organizacao
936,1573,"FACULDADE ALFREDO NASSER","Privada sem fins lucrativos",FAN,Faculdade
937,4922,"FACULDADE INTEGRADA DAS CATARATAS","Privada com fins lucrativos",,Faculdade
938,1574,"FACULDADE EDUCACIONAL DE MEDIANEIRA","Privada com fins lucrativos","UDC Medianeira",Faculdade
939,1577,"FACULDADE INTERMUNICIPAL DO NOROESTE DO PARANÁ","Privada sem fins lucrativos",FACINOR,Faculdade
940,1580,"FACULDADE DE CIÊNCIAS E EDUCAÇÃO SENA AIRES","Privada com fins lucrativos",FACESA,Faculdade
941,1585,"FACULDADE ENERGIA","Privada com fins lucrativos",,Faculdade
942,4256,"Centro Universitário FIP-MOC","Privada com fins lucrativos",,"Centro Universitário"
943,22104,"Faculdades Integradas Padrao","Privada com fins lucrativos","FIP GUANAMBI",Faculdade
944,1590,"CENTRO UNIVERSITÁRIO ESTÁCIO DE SÃO LUÍS","Privada com fins lucrativos","ESTÁCIO SÃO LUÍS",Faculdade
945,1591,"FACULDADE ESTÁCIO MACAPÁ - ESTÁCIO MACAPÁ","Privada sem fins lucrativos","ESTÁCIO MACAPÁ",Faculdade
946,1592,"FACULDADE DE ODONTOLOGIA DE MANAUS","Privada sem fins lucrativos",FOM,Faculdade
947,3613,"FACULDADES INTEGRADAS IESGO","Privada com fins lucrativos",IESGO,Faculdade
948,1596,"FACULDADE DE CIÊNCIAS E EDUCAÇÃO DO ESPÍRITO SANTO","Privada com fins lucrativos",UNIVES,Faculdade
949,1597,"FACULDADE SANTA FÉ","Privada com fins lucrativos",CESSF,Faculdade
950,1598,"CENTRO UNIVERSITÁRIO UNA DE UBERLÂNDIA","Privada com fins lucrativos",,"Centro Universitário"
951,15452,"CENTRO UNIVERSITÁRIO UNA DE BOM DESPACHO","Privada com fins lucrativos",UNA,"Centro Universitário"
952,1599,"CENTRO UNIVERSITÁRIO PRESIDENTE TANCREDO DE ALMEIDA NEVES","Privada com fins lucrativos",UNIPTAN,"Centro Universitário"
953,1600,"INSTITUTO DE CIÊNCIAS DA SAÚDE","Privada sem fins lucrativos",ICS,Faculdade
954,1601,"FACULDADE CIDADE DE COROMANDEL","Privada sem fins lucrativos",FCC,Faculdade
955,1606,"FACULDADES INTEGRADAS DE CASSILÂNDIA","Privada com fins lucrativos",FIC,Faculdade
956,1607,"FACULDADE LUTERANA SÃO MARCOS","Privada sem fins lucrativos",FALSM,Faculdade
957,1609,"FACULDADE DOS CERRADOS PIAUIENSES","Privada com fins lucrativos",FCP,Faculdade
958,1610,"FACULDADE DAS ATIVIDADES EMPRESARIAIS DE TERESINA","Privada sem fins lucrativos",FAETE,Faculdade
959,1611,"FACULDADE EDUCACIONAL DE ARAPOTI","Privada com fins lucrativos",FATI,Faculdade
960,1613,"FACULDADE ADVENTISTA PARANAENSE","Privada sem fins lucrativos",IAP,Faculdade
961,1615,"INSTITUTO SUPERIOR DO LITORAL DO PARANÁ","Privada sem fins lucrativos",ISULPAR,Faculdade
