CODIGO_IES,NOME_IES,TIPO_CATEGORIA_ADM,SIGLA_IES,TIPO_ORG_ACADEMICA
3163, CIÊNCIA E TECNOLOGIA DO RIO DE JANEIRO,Pública Federal,IFRJ,Instituto Federal de Educaçao Ciência e Tecnologia
4503,UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA,Pública Federal,UFRB,Universidade
17,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,Pública Federal,UFU,Universidade
591,UNIVERSIDADE FEDERAL DE SÃO PAULO,Pública Federal,UNIFESP,Universidade
14858,FACULDADE DE TECNOLOGIA FRANCISCO MORATO,Privada com fins lucrativos,FFRAMO,Faculdade
14401,FACULDADE DE TECNOLOGIA PORTO DAS MONÇÕES,Privada com fins lucrativos,FAMO,Faculdade
13796,FACULDADE DE PORTO FELIZ,Privada com fins lucrativos,,Faculdade
18033,FACULDADE DE TEODORO SAMPAIO,Privada sem fins lucrativos,FTS,Faculdade
17355,Faculdade de Educaçao em Ciências da Saúde,Privada sem fins lucrativos,FECS,Faculdade
14961,FACULDADE DE TECNOLOGIA EM SAÚDE - IAHCS,Privada sem fins lucrativos,FATESA,Faculdade
4821,FACULDADE PROMINAS DE MONTES CLAROS,Privada com fins lucrativos,PROMINAS,Faculdade
3657,FACULDADE DE COMPUTAÇÃO DE MONTES CLAROS,Privada com fins lucrativos,,Faculdade
3448,INSTITUTO SUPERIOR DE EDUCAÇÃO IBITURUNA,Privada com fins lucrativos,,Faculdade
13040,FACULDADE DE CIÊNCIAS MÉDICAS DO PARÁ,Privada com fins lucrativos,FACIMPA,Faculdade
12735,FACULDADE DE CIÊNCIAS HUMANAS E SOCIAIS DO XINGU E AMAZÔNIA,Privada sem fins lucrativos,FACX,Faculdade
13749,FACULDADE EDUCACIONAL ARAUCÁRIA,Privada com fins lucrativos,Facear,Faculdade
17875,Faculdade Católica de Belém,Privada sem fins lucrativos,FACBEL,Faculdade
12869,FACULDADES JOÃO PAULO II,Privada com fins lucrativos,FJP,Faculdade
19587,FACULDADES JOÃO PAULO II - PELOTAS,Privada com fins lucrativos,FJP -PELOTAS,Faculdade
19542,FACULDADES JOÃO PAULO II - Campus Porto Alegre,Privada com fins lucrativos,FJP,Faculdade
12922,FACULDADE DE TECNOLOGIA E CIÊNCIAS DA BAHIA,Privada com fins lucrativos,FATEC/BA,Faculdade
13014,FACULDADE DE TEOLOGIA DA ARQUIDIOCESE DE BRASÍLIA,Privada sem fins lucrativos,FATEO,Faculdade
13073,FACULDADE DE TECNOOLOGIA AEROTD,Privada com fins lucrativos,FATECAEROTD,Faculdade
18956,Faculdade de Ciências e Tecnologia de Janaúba,Privada sem fins lucrativos,FACITEC,Faculdade
4594,FACULDADE CATÓLICA DE RONDONIA,Privada sem fins lucrativos,FCR,Faculdade
1048,FACULDADE CAMPOS ELÍSEOS,Privada sem fins lucrativos,FCE,Faculdade
13845,Escola DIEESE de Ciências do Trabalho,Privada sem fins lucrativos,DIEESE,Faculdade
13300,FACULDADE ADJETIVO CETEP,Privada com fins lucrativos,ADJETIVO-CETEP,Faculdade
14947,FACULDADE DE CIÊNCIAS DO TOCANTINS,Privada com fins lucrativos,FACIT,Faculdade
13657,Faculdade Uniateneu,Privada com fins lucrativos,FATE,Faculdade
4925,FUNDAÇÃO UNIVERSIDADE FEDERAL DO ABC,Pública Federal,UFABC,Universidade
13476,FACULDADE SÃO BASÍLIO MAGNO,Privada sem fins lucrativos,FASBAM,Faculdade
13484,FACULDADE EUROPÉIA DE VITÓRIA,Privada sem fins lucrativos,FAEV,Faculdade
13486,FACULDADE FACTUM,Privada com fins lucrativos,Factum,Faculdade
13488,FACULDADE SEQÜENCIAL,Privada sem fins lucrativos,,Faculdade
13527,FACULDADE CANÇÃO NOVA,Privada sem fins lucrativos,FCN,Faculdade
13625,FACULDADE DE TECNOLOGIA NOVA PALHOÇA,Privada com fins lucrativos,FATENP,Faculdade
54,UNIVERSIDADE ESTADUAL DE CAMPINAS,Pública Estadual,UNICAMP,Universidade
13631,Faculdade de Ciências Educacao Saúde Pesquisa e Gestao,Privada com fins lucrativos,,Faculdade
16225,Faculdade Regional do Jacuípe,Privada com fins lucrativos,FARJ,Faculdade
13648,FACULDADE DE SÃO MARCOS,Privada com fins lucrativos,FACSM,Faculdade
14786,FACULDADE DE TECNOLOGIA SENAI LONDRINA,Privada sem fins lucrativos,,Faculdade
14784,FACULDADE DE TECNOLOGIA SENAI CURITIBA,Privada sem fins lucrativos,,Faculdade
13677,FACULDADE DE TECNOLOGIA SENAI CIC,Privada sem fins lucrativos,,Faculdade
13674,FACULDADE DE TECNOLOGIA SENAI TELÊMACO BORBA,Privada sem fins lucrativos,,Faculdade
13663,FACULDADE ISEIB DE BETIM,Privada com fins lucrativos,FISBE,Faculdade
13666,FACULDADE DE DIREITO DE CONTAGEM,Privada com fins lucrativos,FDCON,Faculdade
21204,FACULDADE UNITERP,Privada com fins lucrativos,FACTERP,Faculdade
19214,Faculdade Norte e Nordeste do Brasil,Privada com fins lucrativos,FANOR - BRASIL,Faculdade
13716,FACULDADE DE TECNOLOGIA GAP,Privada com fins lucrativos,GAP,Faculdade
13717,FACULDADES DO VALE DO ARARANGUA - FVA,Privada com fins lucrativos,FVA,Faculdade
13728,FACULDADE DOS CARAJÁS,Privada com fins lucrativos,,Faculdade
13752,FACULDADE DOM RICARDO,Privada sem fins lucrativos,FDR,Faculdade
13792,INSTITUIÇÃO DE ENSINO SUPERIOR DE CACOAL,Privada com fins lucrativos,FANORTE CACOAL,Faculdade
13784,FACULDADE DO PLANALTO CENTRAL,Privada com fins lucrativos,FAPLAC,Faculdade
13783,FACULDADE ESTÁCIO DE FEIRA DE SANTANA,Privada com fins lucrativos,ESTÁCIO FEIRA DE SAN,Faculdade
13805,FACULDADE ADVENTISTA DA AMAZÔNIA,Privada sem fins lucrativos,FAAMA,Faculdade
13828,FACULDADE ISEIB DE BELO HORIZONTE,Privada com fins lucrativos,FIBH,Faculdade
13883,FACULDADE MURIALDO,Privada sem fins lucrativos,FAMUR,Faculdade
13889,FACULDADE ITAPURANGA,Privada com fins lucrativos,,Faculdade
17563,FACULDADE DE TECNOLOGIA COESP,Privada com fins lucrativos,FCOESP,Faculdade
10349,FACULDADE DE TECNOLOGIA IPPEO,Privada com fins lucrativos,IPPEO,Faculdade
15280,Faculdade Brasileira de Ensino Pesquisa e Extensao,Privada com fins lucrativos,FABEX,Faculdade
13982,FACULDADE UNINASSAU BELÉM,Privada com fins lucrativos,,Faculdade
12817,FACULDADE IMESP MONITOR,Privada com fins lucrativos,IMESP,Faculdade
16010,FACULDADE DE ENSINO SUPERIOR DE LINHARES,Pública Municipal,FACELI,Faculdade
14069,FACULDADE DE TECNOLOGIA PORTO SUL,Privada com fins lucrativos,FAPS,Faculdade
10251,FACULDADE ORTODOXA,Privada sem fins lucrativos,FACO,Faculdade
14097,FACULDADE REFIDIM,Privada sem fins lucrativos,Refidim,Faculdade
17558,Faculdade Santo André,Privada sem fins lucrativos,FASA,Faculdade
14095,FACULDADE DE TECNOLOGIA FUTURO,Privada com fins lucrativos,Fatec Futuro,Faculdade
14181,FACULDADE DE TECNOLOGIA DO COOPERATIVISMO,Privada sem fins lucrativos,,Faculdade
14194,FACULDADE DE TEOLOGIA E CIÊNCIAS,Privada sem fins lucrativos,FATEC,Faculdade
14297,Faculdade Unirb - Parnaíba,Privada com fins lucrativos,F. UNIRB,Faculdade
14313,NOVA FACULDADE,Privada com fins lucrativos,NF,Faculdade
4173,FACULDADE JK DE TECNOLOGIA,Privada sem fins lucrativos,FACJK,Faculdade
570,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,Pública Federal,UFRN,Universidade
13034,FACULDADE SHALOM DE ENSINO SUPERIOR,Privada sem fins lucrativos,FASES,Faculdade
11584,FACULDADE CAL DE ARTES CÊNICAS,Privada sem fins lucrativos,Faculdade Cal,Faculdade
13775,FACULDADE DE TECNOLOGIA IBRATE,Privada com fins lucrativos,FAITEC,Faculdade
2247,Faculdade Paulista Sao José,Privada sem fins lucrativos,FPSJ,Faculdade
581,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,Pública Federal,UFRGS,Universidade
14408, INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DE BRASILIA,Pública Federal,IFB,Instituto Federal de Educaçao Ciência e Tecnologia
14412,FACULDADE DE TECNOLOGIA SENAI PERNAMBUCO,Privada sem fins lucrativos,,Faculdade
18258,FACULDADE UNIFICADA DO ESTADO DE SÃO PAULO,Privada com fins lucrativos,FAUESP,Faculdade
14869,Faculdade Faipe,Privada com fins lucrativos,,Faculdade
