NUM_CURSOS,CODIGO_IES,TIPO_CATEGORIA_ADM,REGIAO,UF,DEFICIENCIA_FISICA,DEFICIENCIA_AUDITIVA,DEFICIENCIA_VISUAL,DEFICIENCIA_COGNITIVA,DEFICIENCIA_MULTIPLA,RECURSOS_DEF_FISICA,RECURSOS_DEF_VISUAL,RECURSOS_DEF_AUDITIVA,RECURSOS_DEF_COGNITIVA,RECURSOS_DEF_MULTIPLA
18,3786,Privada com fins lucrativos,Sudeste,Minas Gerais,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4444444444444444,0.3888888888888889,0.2222222222222222,0.2222222222222222
2,3787,,,,,,,,,,,,,
11,3788,,,,,,,,,,,,,
7,3789,Privada sem fins lucrativos,Centro-Oeste,Goiás,1.0,1.0,3.0,0.0,0.0,3.0,4.285714285714286,4.142857142857143,2.0,2.0
2,3790,,,,,,,,,,,,,
4,3793,,,,,,,,,,,,,
14,3797,Privada com fins lucrativos,Sul,Paraná,1.0,1.0,2.0,0.0,0.0,0.8571428571428571,0.42857142857142855,0.6428571428571429,0.42857142857142855,0.42857142857142855
15,3804,Privada sem fins lucrativos,Sul,Rio Grande do Sul,2.0,8.0,3.0,3.0,18.0,2.6666666666666665,4.0,4.666666666666667,2.0,2.0
7,3805,Privada com fins lucrativos,Nordeste,Paraíba,0.0,1.0,1.0,0.0,0.0,1.4285714285714286,0.8571428571428571,1.4285714285714286,0.8571428571428571,0.8571428571428571
6,3815,Privada sem fins lucrativos,Centro-Oeste,Mato Grosso,0.0,0.0,1.0,0.0,0.0,1.0,1.5,1.3333333333333333,0.6666666666666666,0.6666666666666666
27,3817,Privada sem fins lucrativos,Nordeste,Paraíba,48.0,0.0,1.0,0.0,0.0,0.0,0.5925925925925926,1.037037037037037,0.0,0.0
3,3823,,,,,,,,,,,,,
1,3837,,,,,,,,,,,,,
4,3838,,,,,,,,,,,,,
1,3839,,,,,,,,,,,,,
51,3840,Privada com fins lucrativos,Sul,Santa Catarina,41.0,14.0,37.0,15.0,2.0,2.392156862745098,2.4901960784313726,2.215686274509804,1.588235294117647,1.588235294117647
1,3847,Privada com fins lucrativos,Nordeste,Bahia,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
70,3849,Pública Federal,Norte,Tocantins,104.0,40.0,40.0,13.0,9.0,4.714285714285714,7.071428571428571,6.285714285714286,3.142857142857143,3.142857142857143
18,3853,Privada com fins lucrativos,Nordeste,Rio Grande do Norte,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
11,3854,,,,,,,,,,,,,
5,3862,Privada sem fins lucrativos,Nordeste,Ceará,4.0,0.0,2.0,6.0,1.0,3.6,4.8,4.8,2.4,2.4
29,3864,,,,,,,,,,,,,
3,3866,,,,,,,,,,,,,
16,3867,,,,,,,,,,,,,
9,3869,,,,,,,,,,,,,
21,3875,Privada sem fins lucrativos,Sudeste,Minas Gerais,5.0,5.0,10.0,0.0,0.0,0.9047619047619048,1.3333333333333333,1.7619047619047619,0.47619047619047616,0.47619047619047616
15,3876,Privada com fins lucrativos,Sudeste,Rio de Janeiro,16.0,9.0,17.0,1.0,0.0,1.6,1.6,2.4,0.8,0.8
10,3877,Privada com fins lucrativos,Centro-Oeste,Goiás,1.0,0.0,1.0,1.0,0.0,1.2,1.6,1.5,0.8,0.8
23,3879,Privada com fins lucrativos,Nordeste,Paraíba,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.17391304347826086,0.0,0.0
12,3881,Privada com fins lucrativos,Nordeste,Pernambuco,1.0,0.0,1.0,0.0,0.0,0.9166666666666666,0.5833333333333334,0.9166666666666666,0.5833333333333334,0.5833333333333334
5,3896,,,,,,,,,,,,,
2,3920,,,,,,,,,,,,,
10,3921,Privada com fins lucrativos,Nordeste,Bahia,1.0,1.0,0.0,0.0,0.0,0.8,0.8,1.0,0.6,0.6
9,3930,Privada com fins lucrativos,Nordeste,Piauí,0.0,1.0,0.0,3.0,0.0,1.1111111111111112,1.4444444444444444,1.1111111111111112,0.5555555555555556,0.5555555555555556
5,3933,Privada com fins lucrativos,Sudeste,São Paulo,0.0,0.0,1.0,0.0,0.0,1.2,1.2,1.2,0.8,0.8
