NUM_CURSOS,CODIGO_IES,DEFICIENCIA_FISICA,DEFICIENCIA_VISUAL,DEFICIENCIA_AUDITIVA,DEFICIENCIA_COGNITIVA,DEFICIENCIA_MULTIPLA,RECURSOS_DEF_FISICA,RECURSOS_DEF_VISUAL,RECURSOS_DEF_AUDITIVA,RECURSOS_DEF_COGNITIVA,RECURSOS_DEF_MULTIPLA,CLASS
5,19189,1.0,0.0,0.0,0.0,0.0,0.8,1.0,0.8,0.4,0.4,2
2,19210,0.0,2.0,0.0,0.0,0.0,4.0,4.0,5.0,3.0,3.0,1
4,19255,2.0,2.0,0.0,0.0,0.0,4.5,4.5,6.0,3.0,3.0,1
8,19257,1.0,0.0,0.0,0.0,0.0,125.0,125.0,375.0,125.0,125.0,2
5,19260,3.0,1.0,1.0,1.0,0.0,6.0,6.0,8.0,4.0,4.0,1
2,19272,0.0,2.0,0.0,0.0,0.0,6.0,6.0,8.0,4.0,4.0,3
4,19287,1.0,0.0,0.0,0.0,0.0,1.5,1.75,1.5,1.0,1.0,0
3,19298,0.0,1.0,0.0,3.0,0.0,6.0,6.0,8.0,4.0,4.0,0
3,19323,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.6666666666666665,1.3333333333333333,1.3333333333333333,1
2,19327,1.0,0.0,0.0,0.0,0.0,3.0,4.0,3.5,2.0,2.0,3
2,19476,1.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,2.0,3
2,19501,1.0,1.0,0.0,1.0,0.0,0.0,1.5,0.0,0.0,0.0,0
19,19512,3.0,0.0,1.0,0.0,0.0,1.0526315789473684,1.6842105263157894,1.4736842105263157,0.631578947368421,0.631578947368421,0
2,19578,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
3,19586,1.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.0,1.0,3
1,19727,0.0,0.0,0.0,1.0,0.0,4.0,4.0,5.0,3.0,3.0,0
5,19739,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4,19781,1.0,2.0,1.0,0.0,0.0,6.0,6.0,8.0,4.0,4.0,3
3,19783,1.0,2.0,2.0,0.0,0.0,8.0,8.0,10.666666666666666,5.333333333333333,5.333333333333333,2
2,19785,0.0,1.0,0.0,0.0,0.0,3.0,3.0,4.0,2.0,2.0,0
3,19786,0.0,1.0,0.0,1.0,0.0,4.0,4.0,5.333333333333333,2.6666666666666665,2.6666666666666665,3
4,19787,0.0,0.0,2.0,1.0,0.0,4.5,4.5,6.0,3.0,3.0,1
1,19791,1.0,1.0,0.0,0.0,0.0,12.0,12.0,16.0,8.0,8.0,3
1,19862,1.0,0.0,0.0,0.0,0.0,6.0,9.0,8.0,4.0,4.0,3
3,19864,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,2
10,19865,3.0,0.0,0.0,3.0,0.0,0.5,0.5,1.5,0.5,0.5,1
13,19943,2.0,0.0,1.0,0.0,0.0,0.9230769230769232,0.4615384615384615,0.8461538461538461,0.4615384615384615,0.4615384615384615,3
2,20478,1.0,0.0,0.0,0.0,0.0,1.5,1.0,1.5,1.0,1.0,1
3,20499,1.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.0,1.0,0.6666666666666666,0.6666666666666666,3
5,20547,0.0,1.0,0.0,0.0,0.0,0.8,0.4,0.6,0.4,0.4,2
3,20587,0.0,1.0,0.0,1.0,0.0,2.0,2.0,2.6666666666666665,1.3333333333333333,1.3333333333333333,2
4,20605,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.75,0.75,0.75,2
4,21088,0.0,1.0,0.0,0.0,0.0,1.0,1.5,1.0,0.5,0.5,3
1,21095,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3,21239,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.6666666666666665,1.3333333333333333,1.3333333333333333,1
1,21280,0.0,0.0,0.0,1.0,0.0,6.0,6.0,8.0,4.0,4.0,2
2,21281,2.0,0.0,0.0,0.0,0.0,6.0,6.0,8.0,4.0,4.0,0
4,21415,1.0,0.0,0.0,0.0,0.0,0.75,1.0,1.25,0.5,0.5,1
4,21519,0.0,1.0,0.0,0.0,0.0,1.5,2.25,2.0,1.0,1.0,0
1,21540,1.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,1.0,1.0,2
1,21583,0.0,0.0,8.0,0.0,0.0,32.0,32.0,40.0,16.0,16.0,0
1,21638,1.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,2.0,2.0,0
3,21687,1.0,1.0,0.0,0.0,0.0,4.0,4.0,5.333333333333333,2.6666666666666665,2.6666666666666665,2
2,21691,0.0,1.0,0.0,0.0,0.0,3.0,3.0,4.0,2.0,2.0,2
4,21693,0.0,2.0,1.0,0.0,0.0,4.5,4.5,6.0,3.0,3.0,0
3,21713,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2,21834,0.0,1.0,0.0,0.0,0.0,3.0,3.0,4.0,2.0,2.0,1
3,21882,0.0,3.0,1.0,2.0,0.0,8.0,8.0,10.666666666666666,5.333333333333333,5.333333333333333,1
3,21900,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.6666666666666665,1.3333333333333333,1.3333333333333333,3
1,21903,1.0,0.0,1.0,0.0,0.0,6.0,6.0,8.0,4.0,4.0,1
5,21932,1.0,2.0,0.0,1.0,0.0,1.8,2.4,3.0,1.2,1.2,0
1,21952,0.0,0.0,0.0,1.0,0.0,5.0,3.0,4.0,3.0,3.0,0
3,22015,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.6666666666666667,1.3333333333333333,1.3333333333333333,2
1,22059,1.0,0.0,0.0,0.0,0.0,6.0,6.0,8.0,4.0,4.0,2
1,22074,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
1,22096,1.0,0.0,1.0,0.0,0.0,12.0,18.0,16.0,8.0,8.0,1
1,22123,0.0,1.0,0.0,0.0,0.0,6.0,6.0,8.0,4.0,4.0,0
1,22126,1.0,0.0,0.0,0.0,0.0,6.0,6.0,8.0,4.0,4.0,1
1,22127,0.0,3.0,1.0,1.0,0.0,24.0,24.0,32.0,16.0,16.0,2
1,22128,2.0,2.0,0.0,2.0,0.0,24.0,24.0,32.0,16.0,16.0,3
1,22129,1.0,0.0,0.0,0.0,0.0,6.0,6.0,8.0,4.0,4.0,0
1,22130,0.0,1.0,1.0,1.0,0.0,12.0,12.0,16.0,8.0,8.0,3
1,22136,1.0,4.0,0.0,2.0,0.0,30.0,30.0,40.0,20.0,20.0,3
2,22140,1.0,1.0,0.0,0.0,0.0,6.0,6.0,8.0,4.0,4.0,2
